Timestamp,Value
0.0,-1
5.0,57
10.0,-1
15.0,-1
20.0,-1
25.0,59
30.0,54
35.0,58
40.0,58
45.0,58
50.0,-1
55.0,-1
60.0,-1
65.0,-1
70.0,29
75.0,-1
80.0,-1
85.0,3
90.0,-1
95.0,12
100.0,13
105.0,-1
110.0,-1
115.0,-1
120.0,-1
125.0,15
130.0,15
135.0,12
140.0,-1
145.0,-1
150.0,-1
155.0,-1
160.0,-1
165.0,-1
170.0,53
175.0,60
180.0,60
185.0,560
190.0,560
195.0,-1
200.0,-1
205.0,56
210.0,56
215.0,54
220.0,54
225.0,-1
230.0,-1
235.0,-1
240.0,-1
245.0,-1
250.0,-1
255.0,65
260.0,65
265.0,64
270.0,-1
275.0,-1
280.0,64
285.0,-1
290.0,-1
295.0,-1
300.0,-1
305.0,568
310.0,58
315.0,-1
320.0,-1
325.0,528
330.0,568
335.0,-1
340.0,-1
345.0,56
350.0,56
355.0,65
360.0,-1
365.0,64
370.0,-1
375.0,-1
380.0,65
385.0,-1
390.0,-1
395.0,68
400.0,-1
405.0,-1
410.0,-1
415.0,70
420.0,70
425.0,-1
430.0,-1
435.0,55
440.0,55
445.0,-1
450.0,-1
455.0,53
460.0,53
465.0,-1
470.0,-1
475.0,-1
480.0,63
485.0,65
490.0,65
495.0,62
500.0,-1
505.0,66
510.0,66
515.0,66
520.0,66
525.0,65
530.0,65
535.0,56
540.0,66
545.0,64
550.0,-1
555.0,55
560.0,55
565.0,-1
570.0,-1
575.0,-1
580.0,62
585.0,58
590.0,58
595.0,58
600.0,58
605.0,6
610.0,-1
615.0,-1
620.0,66
625.0,90
630.0,-1
635.0,-1
640.0,-1
645.0,-1
650.0,-1
655.0,63
660.0,63
665.0,-1
670.0,-1
675.0,-1
680.0,7
685.0,59
690.0,-1
695.0,56
700.0,-1
705.0,-1
710.0,-1
715.0,-1
720.0,57
725.0,57
730.0,54
735.0,56
740.0,56
745.0,6
750.0,-1
755.0,59
760.0,-1
765.0,50
770.0,50
775.0,62
780.0,-1
785.0,55
790.0,55
795.0,53
800.0,-1
805.0,56
810.0,56
815.0,-1
820.0,-1
825.0,55
830.0,55
835.0,62
840.0,-1
845.0,58
850.0,58
855.0,-1
860.0,-1
865.0,-1
870.0,52
875.0,-1
880.0,-1
885.0,-1
890.0,57
895.0,63
900.0,63
905.0,58
910.0,58
915.0,-1
920.0,-1
925.0,54
930.0,54
935.0,-1
940.0,-1
945.0,62
950.0,-1
955.0,55
960.0,55
965.0,-1
970.0,-1
975.0,66
980.0,56
985.0,-1
990.0,-1
995.0,-1
1000.0,58
1005.0,63
1010.0,-1
