Time,Attention,Engagement,Stress
34,67,58,34
44,66,68,37
54,75,42,34
64,73,29,38
74,54,45,40
84,78,31,39
94,85,13,35
104,80,13,36
114,77,24,41
124,78,15,36
134,77,12,34
144,81,9,39
154,67,26,40
164,55,53,48
174,62,60,41
184,66,60,43
194,58,62,42
204,67,56,37
214,72,57,37
224,75,61,36
234,80,61,40
244,65,63,53
254,54,65,40
264,58,64,34
274,66,64,33
284,50,59,78
294,67,63,62
304,71,58,37
314,64,52,35
324,60,58,37
334,61,62,35
344,67,56,34
354,77,65,34
364,85,64,32
374,83,65,33
384,83,59,32
394,85,68,31
404,81,70,34
414,87,70,41
424,86,69,40
434,87,55,34
444,86,48,33
454,79,53,33
464,81,63,38
474,85,63,36
484,84,65,36
494,78,62,38
504,75,66,35
514,70,66,37
524,67,65,66
534,72,66,42
544,75,64,36
554,74,55,36
564,76,62,36
574,71,62,36
584,57,58,38
594,70,58,38
604,73,62,36
614,71,66,36
624,74,70,36
634,72,69,35
644,75,70,34
654,72,63,36
664,69,59,35
674,74,61,34
684,80,59,37
694,79,66,36
704,75,64,35
714,74,67,34
724,80,57,35
734,80,56,35
744,80,62,35
754,80,57,33
764,80,60,34
774,78,62,34
784,79,55,34
794,81,53,33
804,82,56,34
814,79,59,34
824,75,55,34
834,74,62,35
844,74,58,37
854,74,51,35
864,77,53,35
874,79,51,37
884,83,57,37
894,87,63,36
904,85,58,35
914,79,51,34
924,77,54,35
934,82,62,34
944,83,55,37
954,77,61,49
964,70,66,39
974,65,67,35
984,71,58,33
994,77,63,36
1004,61,57,38
