Timestep,Attention,Engagement,Stress,Time,StartTime
10,45,58,30,1730353615,1730353605
20,38,59,37,1730353625,
30,42,64,31,1730353635,
40,46,61,31,1730353645,
50,40,50,26,1730353655,
60,37,44,27,1730353665,
70,37,45,28,1730353675,
80,41,49,27,1730353685,
90,44,39,30,1730353695,
100,47,42,27,1730353705,
110,46,36,28,1730353715,
120,50,35,28,1730353725,
130,45,35,33,1730353735,
140,41,34,29,1730353745,
150,45,45,27,1730353755,
160,46,41,26,1730353765,
170,46,41,27,1730353775,
180,48,40,28,1730353785,
190,40,46,34,1730353795,
200,44,53,27,1730353805,
210,52,47,27,1730353815,
220,48,53,28,1730353825,
230,51,59,28,1730353835,
240,51,48,28,1730353845,
250,52,53,30,1730353855,
260,55,61,35,1730353865,
270,54,59,31,1730353875,
280,53,65,31,1730353885,
290,57,62,32,1730353895,
300,55,50,30,1730353905,
310,55,62,31,1730353915,
320,62,68,40,1730353925,
330,58,56,33,1730353935,
340,54,58,31,1730353945,
350,57,64,38,1730353955,
360,53,62,34,1730353965,
370,57,61,35,1730353975,
380,41,65,43,1730353985,
390,32,66,47,1730353995,
400,32,64,35,1730354005,
410,37,50,34,1730354015,
420,43,57,39,1730354025,
430,41,59,38,1730354035,
440,34,56,55,1730354045,
450,48,60,52,1730354055,
460,55,53,45,1730354065,
470,49,40,46,1730354075,
480,46,54,39,1730354085,
490,48,53,41,1730354095,
500,50,44,52,1730354105,
510,49,46,58,1730354115,
520,53,39,40,1730354125,
530,49,49,48,1730354135,
540,42,62,60,1730354145,
550,39,65,62,1730354155,
560,45,49,52,1730354165,
570,36,63,68,1730354175,
580,47,61,60,1730354185,
590,56,63,51,1730354195,
